125,27,104050,4675,1
125,27,127450,8675,1
127,37,2060,1,127
127,37,764,41,127
127,2,254,127,1
129,11,168,3,43
129,2,258,129,1
131,26,760,13,131
131,52,3388,23,131
131,26,814,17,131
131,2,262,131,1
133,36,920,11,133
133,11,434,35,19
133,4,380,95,7
133,42,6698,59,133
133,2,266,133,1
135,5,2052,513,5
135,2,270,135,1
135,3,108,27,5
135,5,1566,621,5
135,27,112374,5049,5
135,27,137646,9369,5
137,14,256,1,137
137,72,6424,41,137
137,29,160000,503,137
137,2,274,137,1
137,29,26836,967,137
137,29,13714,743,137
139,136,6422,11,139
139,2,278,139,1
141,28,2964,75,47
141,18,264,15,141
141,7,1074,219,47
141,7,1560,195,47
141,7,1020,255,47
141,7,1236,267,47
141,2,282,141,1
141,7,858,303,47
143,140,66448,7,143
143,16,316,29,143
143,4,88,11,13
143,6,208,13,11
143,16,1072,17,143
143,14,1612,169,11
143,2,286,143,1
143,24,30646,1441,13
143,8,18568,2321,13
143,8,15004,2849,13
143,8,13222,2497,13
143,8,12628,3157,13
143,8,11044,2761,13
143,8,10846,3113,13
143,8,9262,3509,13
145,10,128,1,145
145,34,2042,47,145
145,5,80,5,29
145,22,656,23,145
145,17,980,55,29
145,3,116,29,5
145,5,2204,551,5
145,2,290,145,1
145,5,1682,667,5
145,27,120698,5423,5
145,27,147842,10063,5
145,65,17078300,19055,29
145,65,7885520,35275,29
147,38,6414,75,49
147,4,420,105,1
147,2,294,147,1
149,59,58900,19,149
149,2,298,149,1
149,42,11596,667,149
151,72,5708,41,151
151,18,1550,113,151
151,2,302,151,1
153,31,2520,207,17
153,7,144,9,153
153,2,306,153,1
155,42,1384,1,155
155,23,1060,65,31
155,3,124,31,5
155,5,2356,589,5
155,2,310,155,1
155,5,1798,713,5
155,27,129022,5797,5
155,27,158038,10757,5
157,28,1346,13,157
157,2,314,157,1
159,29,3486,309,53
159,2,318,159,1
161,44,2026,25,161
161,15,352,11,161
161,43,17416,287,23
161,29,3322,79,161
161,15,304,19,161
161,4,460,115,7
161,5,280,35,23
161,5,196,49,23
161,2,322,161,1
163,89,9476,11,163
163,72,4454,17,163
163,2,326,163,1
165,6,168,21,165
165,12,402,3,55
165,14,1860,195,11
165,5,2508,627,5
165,6,240,15,165
165,28,3804,123,55
165,3,132,33,5
165,2,330,165,1
165,5,1914,759,5
165,27,137346,6171,5
165,27,168234,11451,5
167,17,1372,127,167
167,47,886,13,167
167,17,1084,95,167
167,2,334,167,1
169,24,344,11,169
169,44,3260,17,169
169,4,104,13,1
169,2,338,169,1
169,24,36218,1703,1
169,8,21944,2743,1
169,8,17732,3367,1
169,8,15626,2951,1
169,8,14924,3731,1
169,8,13052,3263,1
169,8,12818,3679,1
169,8,10946,4147,1
171,11,558,45,19
171,2,342,171,1
173,34,1042,7,173
173,17,376,37,173
173,2,346,173,1
175,8,716,89,175
175,8,1040,65,7
175,16,1526,49,25
175,8,446,101,175
175,8,824,103,175
175,8,680,85,7
