k,factors,No. Cycles,Cycles,Origin,N,U,D
75,"[3, 5, 5]",7,"[25, 5, 25, 5, 5, 5, 5]","[21, 285, 51, 15, 345, 2805, 5205]","[16, 5, 8, 3, 5, 27, 27]","[8, 3, 4, 1, 3, 17, 17]","[8, 2, 4, 2, 2, 10, 10]"
77,"[7, 11]",4,"[77, 11, 7, 11]","[1, 7, 55, 91]","[38, 6, 4, 14]","[16, 2, 2, 8]","[22, 4, 2, 6]"
79,[79],4,"[79, 79, 79, 79]","[1, 7, 233, 265]","[44, 44, 23, 23]","[20, 20, 14, 14]","[24, 24, 9, 9]"
81,"[3, 3, 3, 3]",0,[],[],[],[],[]
83,[83],3,"[83, 83, 83]","[109, 157, 65]","[12, 12, 24]","[7, 7, 14]","[5, 5, 10]"
85,"[5, 17]",8,"[85, 17, 5, 17, 5, 5, 5, 5]","[7, 5, 17, 115, 323, 391, 3179, 5899]","[100, 7, 3, 31, 5, 5, 27, 27]","[56, 2, 1, 18, 3, 3, 17, 17]","[44, 5, 2, 13, 2, 2, 10, 10]"
87,"[3, 29]",4,"[29, 29, 29, 29]","[33, 3, 11433, 21165]","[17, 5, 65, 65]","[9, 1, 41, 41]","[8, 4, 24, 24]"
89,[89],1,[89],[17],[17],[8],[9]
91,"[7, 13]",13,"[91, 91, 13, 91, 7, 13, 13, 13, 13, 13, 13, 13, 13]","[1, 25, 7, 59, 65, 917, 1477, 1813, 1589, 2009, 1757, 1981, 2233]","[48, 12, 4, 12, 4, 24, 8, 8, 8, 8, 8, 8, 8]","[24, 6, 1, 6, 2, 15, 5, 5, 5, 5, 5, 5, 5]","[24, 6, 3, 6, 2, 9, 3, 3, 3, 3, 3, 3, 3]"
93,"[3, 31]",1,[31],[39],[23],[12],[11]
95,"[5, 19]",9,"[95, 19, 95, 95, 5, 5, 5, 5, 5]","[1, 25, 23, 17, 19, 361, 437, 3553, 6593]","[72, 11, 11, 11, 3, 5, 5, 27, 27]","[36, 5, 5, 5, 1, 3, 3, 17, 17]","[36, 6, 6, 6, 2, 2, 2, 10, 10]"
97,[97],2,"[97, 97]","[1, 13]","[18, 9]","[6, 3]","[12, 6]"
99,"[3, 3, 11]",2,"[11, 11]","[9, 117]","[6, 14]","[2, 8]","[4, 6]"
101,[101],7,"[101, 101, 101, 101, 101, 101, 101]","[11, 29, 7, 19, 23, 31, 37]","[14, 7, 14, 7, 7, 7, 7]","[6, 3, 6, 3, 3, 3, 3]","[8, 4, 8, 4, 4, 4, 4]"
103,[103],2,"[103, 103]","[23, 5]","[45, 21]","[22, 8]","[23, 13]"
105,"[3, 5, 7]",8,"[35, 7, 5, 35, 5, 5, 5, 5]","[39, 75, 399, 51, 21, 483, 3927, 7287]","[8, 4, 5, 8, 3, 5, 27, 27]","[4, 2, 3, 4, 1, 3, 17, 17]","[4, 2, 2, 4, 2, 2, 10, 10]"
107,[107],1,[107],[1],[106],[53],[53]
109,[109],1,[109],[19],[52],[30],[22]
111,"[3, 37]",3,"[37, 37, 37]","[57, 87, 69]","[6, 6, 6]","[3, 3, 3]","[3, 3, 3]"
113,[113],1,[113],[1],[29],[12],[17]
115,"[5, 23]",10,"[115, 23, 115, 5, 23, 23, 5, 5, 5, 5]","[13, 205, 17, 23, 25, 35, 437, 529, 4301, 7981]","[27, 43, 34, 3, 5, 5, 5, 5, 27, 27]","[13, 26, 18, 1, 2, 2, 3, 3, 17, 17]","[14, 17, 16, 2, 3, 3, 2, 2, 10, 10]"
117,"[3, 3, 13]",9,"[13, 13, 13, 13, 13, 13, 13, 13, 13]","[9, 1179, 1899, 2331, 2043, 2583, 2259, 2547, 2871]","[4, 24, 8, 8, 8, 8, 8, 8, 8]","[1, 15, 5, 5, 5, 5, 5, 5, 5]","[3, 9, 3, 3, 3, 3, 3, 3, 3]"
119,"[7, 17]",8,"[119, 119, 17, 119, 119, 7, 119, 17]","[1, 5, 7, 11, 23, 85, 125, 161]","[75, 7, 7, 7, 39, 4, 25, 31]","[42, 2, 2, 2, 18, 2, 14, 18]","[33, 5, 5, 5, 21, 2, 11, 13]"
121,"[11, 11]",4,"[121, 121, 11, 11]","[5, 19, 11, 143]","[44, 88, 6, 14]","[18, 46, 2, 8]","[26, 42, 4, 6]"
123,"[3, 41]",1,[41],[3],[20],[8],[12]
125,"[5, 5, 5]",11,"[125, 125, 25, 25, 5, 125, 5, 125, 5, 5, 5]","[1, 47, 35, 85, 25, 143, 475, 899, 575, 4675, 8675]","[7, 33, 16, 8, 3, 33, 5, 118, 5, 27, 27]","[1, 19, 8, 4, 1, 19, 3, 74, 3, 17, 17]","[6, 14, 8, 4, 2, 14, 2, 44, 2, 10, 10]"
127,[127],2,"[127, 127]","[1, 41]","[37, 37]","[18, 18]","[19, 19]"
129,"[3, 43]",1,[43],[3],[11],[3],[8]
131,[131],3,"[131, 131, 131]","[13, 23, 17]","[26, 52, 26]","[13, 26, 13]","[13, 26, 13]"
